BINCODE	NAME	IDENTIFIER	DESCRIPTION	TYPE
'1'	'Photosynthesis'	''	''	
'1.1'	'Photosynthesis.photophosphorylation'	''	''	
'1.1.1'	'Photosynthesis.photophosphorylation.photosystem II'	''	''	
'1.1.1.1'	'Photosynthesis.photophosphorylation.photosystem II.LHC-II complex'	''	''	
'1.1.1.1.1'	'Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.LHCb1/2/3-type component'	''	''	
'1.1.1.1.2'	'Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.LHCb4-type component'	''	''	
'1.1.1.1.3'	'Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.LHCb5-type component'	''	''	
'1.1.1.1.4'	'Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.LHCb6-type component'	''	''	
'1.1.1.1.5'	'Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.LHCq component'	''	''	
'1.1.1.2'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex'	''	''	
'1.1.1.2.1'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.reaction center complex'	''	''	
'1.1.1.2.1.1'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.reaction center complex.D1 component PsbA'	'ccp38060'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.reaction center complex.D1 component PsbA (original description: pep chromosome:ASM35022v2:Pt:17120:18202:-1 gene:CHC_125 transcript:CCP38060 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:psbA description:photosystem II D1 core protein)'	T
'1.1.1.2.1.2'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.reaction center complex.D2 component PsbD'	'ccp38069'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.reaction center complex.D2 component PsbD (original description: pep chromosome:ASM35022v2:Pt:30353:31408:1 gene:CHC_205 transcript:CCP38069 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:psbD description:photosystem II D2 core protein)'	T
'1.1.1.2.1.3'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.reaction center complex.CP47 component PsbB'	'ccp38104'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.reaction center complex.CP47 component PsbB (original description: pep chromosome:ASM35022v2:Pt:64284:65813:-1 gene:CHC_440 transcript:CCP38104 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:psbB description:photosystem II CP47 protein)'	T
