BINCODE	NAME	IDENTIFIER	DESCRIPTION	TYPE
'1'	'Photosynthesis'	''	''	
'1.1'	'Photosynthesis.photophosphorylation'	''	''	
'1.1.1'	'Photosynthesis.photophosphorylation.photosystem II'	''	''	
'1.1.1.1'	'Photosynthesis.photophosphorylation.photosystem II.LHC-II complex'	''	''	
'1.1.1.1.1'	'Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.LHCb1/2/3-type component'	''	''	
'1.1.1.1.2'	'Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.LHCb4-type component'	''	''	
'1.1.1.1.3'	'Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.LHCb5-type component'	''	''	
'1.1.1.1.4'	'Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.LHCb6-type component'	''	''	
'1.1.1.1.5'	'Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.LHCq component'	''	''	
'1.1.1.2'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex'	''	''	
'1.1.1.2.1'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.reaction center complex'	''	''	
'1.1.1.2.1.1'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.reaction center complex.D1 component PsbA'	'cmv047ct'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.reaction center complex.D1 component PsbA (original description: pep chromosome:ASM9120v1:Chloro:29483:30562:1 gene:CMV047C transcript:CMV047CT gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol: description:Photosystem II protein D1 [Source:UniProtKB/Swiss-Prot;Acc:Q85G59])'	T
'1.1.1.2.1.2'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.reaction center complex.D2 component PsbD'	'cmv081ct'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.reaction center complex.D2 component PsbD (original description: pep chromosome:ASM9120v1:Chloro:52516:53568:1 gene:CMV081C transcript:CMV081CT gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol: description:Photosystem II D2 protein [Source:UniProtKB/Swiss-Prot;Acc:Q85G27])'	T
'1.1.1.2.1.3'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.reaction center complex.CP47 component PsbB'	'cmv124ct'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.reaction center complex.CP47 component PsbB (original description: pep chromosome:ASM9120v1:Chloro:80909:82435:1 gene:CMV124C transcript:CMV124CT gene_biotype:protein_coding transcript_biotype:protein_coding description:Photosystem II CP47 reaction center protein [Source:UniProtKB/TrEMBL;Acc:Q85FZ5])'	T
