BINCODE	NAME	IDENTIFIER	DESCRIPTION	TYPE
'1'	'Photosynthesis'	''	''	
'1.1'	'Photosynthesis.photophosphorylation'	''	''	
'1.1.1'	'Photosynthesis.photophosphorylation.photosystem II'	''	''	
'1.1.1.1'	'Photosynthesis.photophosphorylation.photosystem II.LHC-II complex'	''	''	
'1.1.1.1.1'	'Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.LHCb1/2/3-type component'	''	''	
'1.1.1.1.2'	'Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.LHCb4-type component'	'abo99936'	'Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.LHCb4-type component (original description: pep chromosome:ASM9206v1:15:381693:383148:1 gene:OSTLU_27891 transcript:ABO99936 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:lhcb4 description:possibly CP29, chlorophyll a/b binding)'	T
'1.1.1.1.3'	'Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.LHCb5-type component'	''	''	
'1.1.1.1.4'	'Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.LHCb6-type component'	''	''	
'1.1.1.1.5'	'Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.LHCq component'	'abo98566'	'Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.LHCq component (original description: pep chromosome:ASM9206v1:11:204379:205476:1 gene:OSTLU_88576 transcript:ABO98566 gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:lhcq-like description:chlorophyll a/b binding, possibly photosystem II light harvesting complex)'	T
'1.1.1.2'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex'	''	''	
'1.1.1.2.1'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.reaction center complex'	''	''	
'1.1.1.2.1.1'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.reaction center complex.D1 component PsbA'	''	''	
'1.1.1.2.1.2'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.reaction center complex.D2 component PsbD'	''	''	
'1.1.1.2.1.3'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.reaction center complex.CP47 component PsbB'	''	''	
'1.1.1.2.1.4'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.reaction center complex.CP43 component PsbC'	''	''	
'1.1.1.2.1.5'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.reaction center complex.cytochrome b559 heterodimer'	''	''	
'1.1.1.2.1.5.1'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.reaction center complex.cytochrome b559 heterodimer.alpha component PsbE'	''	''	
