gene	XP1_nitrate	XP2_fruits	XP3_geno
at1g01010.1	0	-0.37511315	-0.68708329
at1g01020.1	0	0.185936851	0.088226125
at1g01030.1	0	-0.86325319	0.658510539
at1g01040.2	0.242172041	-0.913815602	0.585733743
at1g01050.1	0	0.675529195	0.244951553
at1g01060.1	0.875826166	0.131862902	0.799563237
at1g01070.1	-0.065217146	0.11072652	-0.662917024
at1g01073.1	0	-0.306076702	-0.900017549
at1g01080.2	0.239397164	-0.418831818	0.026808547
at1g01090.1	-0.75307116	0.516256606	0.044949611
at1g01100.1	-0.90520614	0.310502181	0.435362886
at1g01110.2	0.658615382	-0.781182379	0.686941966
at1g01115.1	0.390725459	-0.976522433	0.963095831
at1g01120.1	0.114551676	0.167505912	0.254252661
at1g01130.1	0	-0.420291795	0.422477553
at1g01140.3	0.860127012	-0.684263966	0.589210413
at1g01150.1	0	-0.097720552	-0.985732951
at1g01160.2	0	-0.435820957	-0.094643156
at1g01170.1	0	-0.867749394	0.038832361
at1g01180.1	0.332389017	-0.588820195	0.200377107
at1g01190.1	0	-0.627477207	0.974534639
at1g01200.1	0.912351647	0.163363649	-0.00429494
at1g01210.1	0	-0.781031093	-0.887911713
at1g01220.1	-0.768043597	0.931503993	0.16521792
at1g01225.1	0	-0.53480241	-0.039688162
at1g01230.1	-0.873582754	-0.118310972	0.506625294
at1g01240.1	0	0.286878702	-0.833784374
at1g01250.1	0	-0.911019349	-0.580349928
at1g01260.1	0.353153828	-0.522200347	0.508778443
at1g01280.1	-0.489474262	-0.863060144	0.611240204
at1g01290.1	-0.600413391	0.107406047	-0.347121463
at1g01300.1	0	0.360135625	-0.91281492
at1g01305.1	-0.106019162	-0.818650518	0.701227849
at1g01310.1	0	0.45604758	-0.059716035
at1g01320.1	0	-0.497649763	-0.148914765
at1g01340.2	-0.377317235	0.852377939	-0.421772648
at1g01350.1	0	0.755955906	-0.914966943
at1g01355.1	0.626644227	0.688624283	0.704176736
at1g01360.1	0.986952147	0.167956411	0.472968533
at1g01370.1	0	0.068553971	0.126274017
at1g01380.1	0	0.891534361	0.42428623
at1g01390.1	0.016997643	0.393048682	0.883089088
at1g01400.1	0	-0.118901283	0.260714588
at1g01410.1	0.685851556	0.956699994	0.855917412
at1g01420.1	0.225723592	0.966054555	0.299980656
at1g01430.1	0	-0.184089125	-0.585580498
at1g01440.1	0	-0.234149916	-0.774391913
at1g01450.1	0.577484461	0.756585969	-0.64990177
at1g01453.2	0	-0.31571296	0.333250226
at1g01460.1	0.952249712	0.301045396	0.457484969
at1g01470.1	0	0.015683315	0.053318634
at1g01471.1	0	-0.93756133	-0.76840645
at1g01480.1	-0.081400196	-0.058896867	-0.175363621
at1g01490.1	-0.617870277	0.510007752	0.481388637
at1g01500.1	0	-0.37193382	-0.353598837
at1g01510.1	0.447446223	-0.322982112	-0.475178837
at1g01520.1	-0.854601761	-0.838387221	0.543658228
at1g01530.1	-0.821579746	0.303073388	0.551527742
at1g01540.2	0.910859272	-0.491688483	0.302343149
at1g01550.1	0	-0.369432204	-0.049495243
at1g01560.2	0	-0.766161442	-0.358272818
at1g01570.1	0.266743866	0.648614078	-0.531126709
at1g01580.1	0	-0.64261545	-0.816170152
at1g01590.1	0	0.22664697	0.952817012
at1g01600.1	-0.359041747	-0.119035853	-0.378644377
at1g01610.1	-0.844220725	-0.701855317	-0.092813033
at1g01620.1	0.925400511	-0.781299383	0.703810211
at1g01630.1	0.423003744	0.913248586	0.299273071
at1g01640.1	0	0.571346227	0.060754644
at1g01650.1	0.344169406	-0.7965426	-0.869849516
at1g01660.1	0.089926892	-0.31183271	0.806245029
at1g01670.1	-0.514208942	0.749787205	0.167505166
at1g01680.1	-0.650906704	-0.860638613	0.246018999
at1g01690.1	0	-0.12394178	-0.838127901
at1g01695.1	-0.2107524	-0.111050806	-0.249652344
at1g01700.1	0.633263525	0.190607807	0.174159925
at1g01710.1	0.689890768	0.535182345	0.278680794
at1g01720.1	0.743153581	-0.5773221	0.774101556
at1g01725.1	-0.627418157	0.43324912	-0.150252445
at1g01730.1	-0.903478606	0.599332087	-0.14851573
at1g01740.1	0	0.182545063	0.124002097
at1g01750.1	-0.658260129	-0.406001721	-0.554535109
at1g01760.1	0	-0.110612419	-0.036636042
at1g01770.1	0.874244845	-0.790934159	0.528284218
at1g01780.1	-0.688411263	0.302268132	-0.63510105
at1g01790.1	-0.137179587	-0.952653015	0.488231808
at1g01800.1	-0.087097409	-0.788910101	-0.91800403
at1g01810.1	0.740017612	-0.255287833	0.366804602
at1g01820.1	0.278736587	0.053012877	0.037883098
at1g01830.2	0	0.32849064	-0.848941469
at1g01840.1	-0.07163905	-0.13526968	0.136799094
at1g01860.1	-0.376698316	-0.815605142	0.094491955
at1g01880.1	0	0.268702014	-0.378817958
at1g01900.1	0	-0.304073092	0.213851726
at1g01910.1	0.9061728	0.145677735	-0.954087335
at1g01920.1	0.459969468	-0.344356322	0.84357865
at1g01930.1	-0.878289948	0.911044439	0.359224088
at1g01940.1	0.969612508	-0.590457587	-0.29110252
at1g01950.3	0	-0.948562898	0.691639544
at1g01960.1	-0.939432841	0.814148773	-0.050965682
at1g01970.1	-0.506420712	-0.679047108	0.900978948
at1g01980.1	-0.292630136	-0.507472517	-0.352000435
at1g01990.1	0.924709182	-0.240576452	-0.928516078
at1g02000.1	0	-0.147402876	-0.585451487
at1g02010.1	0.156576912	0.114096133	-0.830688452
at1g02020.1	0	-0.080663898	0.994450949
at1g02030.1	0	0.439757161	0.633778668
at1g02040.1	-0.637246961	-0.753278485	-0.456028083
at1g02050.1	-0.95282031	0.998798791	0.715651621
at1g02060.1	-0.043577028	-0.809058034	0.60380961
at1g02065.1	-0.841630493	0.210298841	-0.853285169
at1g02070.1	0.796225218	0.952245779	0.59750964
at1g02074.1	0	-0.331871063	0.385005642
at1g02080.1	-0.220263211	0.58806089	0.93605097
at1g02090.1	0	-0.594676194	-0.173532366
at1g02100.3	0	-0.417278389	0.467290025
at1g02110.1	-0.94837558	-0.713648956	0.633848753
at1g02120.1	0	-0.417072014	0.935256141
at1g02130.1	-0.769804029	-0.909271115	-0.11967176
at1g02140.1	-0.249808435	-0.833998831	-0.860865187
at1g02145.3	0.758149489	-0.031302682	0.000948122
at1g02150.1	-0.086803199	-0.144580726	0.172469764
at1g02160.2	0.767123245	-0.128711351	-0.185656834
at1g02170.1	-0.861660898	-0.012173013	0.08564956
at1g02180.1	-0.254039006	0.3575743	-0.057499697
at1g02190.1	0.412092074	0.493673493	0.797047156
at1g02205.3	0.413221604	-0.41724338	0.587344168
at1g02210.1	-0.390655709	-0.1117136	-0.28230681
at1g02220.1	0	0.639467475	-0.319096136
at1g02230.1	-0.143856634	0.9916758	0.894626349
at1g02250.1	0	-0.990357487	-0.827719305
at1g02260.1	-0.896605907	-0.073376011	0.559439995
at1g02270.1	0.131234073	-0.717688542	-0.940825613
at1g02280.1	0.948212983	-0.755502501	-0.295985263
at1g02290.1	0.224233736	0.183233811	0.28633729
