BINCODE	NAME	IDENTIFIER	DESCRIPTION	TYPE
'1'	'Photosynthesis'	''	''	
'1.1'	'Photosynthesis.photophosphorylation'	''	''	
'1.1.1'	'Photosynthesis.photophosphorylation.photosystem II'	''	''	
'1.1.1.1'	'Photosynthesis.photophosphorylation.photosystem II.LHC-II complex'	''	''	
'1.1.1.1.1'	'Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.LHCb1/2/3-type component'	''	''	
'1.1.1.1.2'	'Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.LHCb4-type component'	''	''	
'1.1.1.1.3'	'Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.LHCb5-type component'	''	''	
'1.1.1.1.4'	'Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.LHCb6-type component'	''	''	
'1.1.1.1.5'	'Photosynthesis.photophosphorylation.photosystem II.LHC-II complex.LHCq component'	''	''	
'1.1.1.2'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex'	''	''	
'1.1.1.2.1'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.reaction center complex'	''	''	
'1.1.1.2.1.1'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.reaction center complex.D1 component PsbA'	'eme28465'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.reaction center complex.D1 component PsbA (original description: pep supercontig:ASM34128v1:scaf_35:26644:27840:-1 gene:Gasu_40100 transcript:EME28465 gene_biotype:protein_coding transcript_biotype:protein_coding description:[pt] photosystem II PsbA protein)'	T
'1.1.1.2.1.2'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.reaction center complex.D2 component PsbD'	'eme28470'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.reaction center complex.D2 component PsbD (original description: pep supercontig:ASM34128v1:scaf_35:39721:42257:1 gene:Gasu_40150 transcript:EME28470 gene_biotype:protein_coding transcript_biotype:protein_coding description:[pt] photosystem II PsbC protein)'	T
'1.1.1.2.1.3'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.reaction center complex.CP47 component PsbB'	'eme28482'	'Photosynthesis.photophosphorylation.photosystem II.PS-II complex.reaction center complex.CP47 component PsbB (original description: pep supercontig:ASM34128v1:scaf_35:66781:68500:-1 gene:Gasu_40270 transcript:EME28482 gene_biotype:protein_coding transcript_biotype:protein_coding description:[pt] photosystem II PsbB protein)'	T
